date_ist,time_ist,location,lat,lon,temp_c,humidity,pressure_mb,windspeed_kph,condition_text,description,aqi_index,pm2_5,pm10,co,no2
01/01/2025,0:00,Anand Vihar,28.6469,77.316,8.1,100,995.4,2.9,Mainly clear,WMO Code 1,197,185.8,188.6,1907,56.7
01/01/2025,1:00,Anand Vihar,28.6469,77.316,7.7,100,994.7,3.2,Overcast,WMO Code 3,198,174.6,177.4,1669,44.8
01/01/2025,2:00,Anand Vihar,28.6469,77.316,7.5,100,994.3,4.5,Overcast,WMO Code 3,199,164.4,166.7,1493,34.6
01/01/2025,3:00,Anand Vihar,28.6469,77.316,7.8,99,994.1,6.0,Overcast,WMO Code 3,200,156.5,158.8,1401,26.7
01/01/2025,4:00,Anand Vihar,28.6469,77.316,7.3,100,993.8,6.8,Overcast,WMO Code 3,200,149.5,151.8,1372,20.6
01/01/2025,5:00,Anand Vihar,28.6469,77.316,7.6,99,993.9,7.3,Overcast,WMO Code 3,201,156.5,158.3,1387,33.3
01/01/2025,6:00,Anand Vihar,28.6469,77.316,8.1,99,994.7,4.8,Overcast,WMO Code 3,201,144.4,146.2,1486,31.4
01/01/2025,7:00,Anand Vihar,28.6469,77.316,8.0,99,995.2,4.0,Overcast,WMO Code 3,201,138.3,140.6,1629,28.7
01/01/2025,8:00,Anand Vihar,28.6469,77.316,8.4,99,995.7,6.5,Overcast,WMO Code 3,200,136.4,138.8,1683,26.0
01/01/2025,9:00,Anand Vihar,28.6469,77.316,9.4,97,996.3,8.0,Overcast,WMO Code 3,200,141.1,143.0,1556,23.3
01/01/2025,10:00,Anand Vihar,28.6469,77.316,11.3,89,996.3,8.8,Overcast,WMO Code 3,200,129.9,132.2,1338,20.5
01/01/2025,11:00,Anand Vihar,28.6469,77.316,13.1,81,995.9,8.1,Partly cloudy,WMO Code 2,200,122.5,125.3,1169,18.2
01/01/2025,12:00,Anand Vihar,28.6469,77.316,14.6,77,994.7,6.3,Clear sky,WMO Code 0,200,115.5,118.3,1079,15.4
01/01/2025,13:00,Anand Vihar,28.6469,77.316,15.8,73,993.5,6.2,Clear sky,WMO Code 0,200,108.7,111.8,1037,13.1
01/01/2025,14:00,Anand Vihar,28.6469,77.316,16.5,72,992.6,6.3,Clear sky,WMO Code 0,201,103.6,106.6,1085,14.1
01/01/2025,15:00,Anand Vihar,28.6469,77.316,16.9,70,992.3,6.9,Clear sky,WMO Code 0,201,99.4,102.7,1291,21.0
01/01/2025,16:00,Anand Vihar,28.6469,77.316,16.5,72,992.2,6.0,Clear sky,WMO Code 0,201,100.4,102.9,1586,31.3
01/01/2025,17:00,Anand Vihar,28.6469,77.316,14.9,80,992.2,4.7,Clear sky,WMO Code 0,202,148.5,151.8,1813,52.6
01/01/2025,18:00,Anand Vihar,28.6469,77.316,12.2,88,994.1,2.8,Clear sky,WMO Code 0,202,157.4,160.7,1910,55.0
01/01/2025,19:00,Anand Vihar,28.6469,77.316,11.4,90,994.4,3.6,Mainly clear,WMO Code 1,201,162.1,165.3,1939,58.0
01/01/2025,20:00,Anand Vihar,28.6469,77.316,10.9,92,994.7,4.0,Clear sky,WMO Code 0,200,167.6,170.4,1917,58.6
01/01/2025,21:00,Anand Vihar,28.6469,77.316,10.4,93,994.9,4.4,Clear sky,WMO Code 0,199,171.8,174.6,1833,55.1
